variant_id,feature_name,operator,threshold,prior_return_filter,entry_time,full_signals,full_signals_per_year,latest_1260_signals,latest_1260_signals_per_year,latest_252_signals,missing_signal_bar_dates,missing_entry_bar_dates,pass_density_gate
business_ch11_growth_prior_down_long_1130,business_ch11_yoy_pct,>=,10.744789877476235,down,11:30:00,521,53.03658,303,59.854381,61,0,0,True
business_ch11_growth_prior_down_long_1130,business_ch11_yoy_pct,>=,26.479693379760022,down,11:30:00,305,31.048286,195,38.520146,9,0,0,False
business_ch11_growth_prior_down_long_1130,business_ch11_yoy_pct,>=,42.74900543088623,down,11:30:00,127,12.928303,105,20.741617,0,0,0,False
business_ch11_share_prior_down_long_1330,business_ch11_share_pct,>=,30.18761597049018,down,13:30:00,653,66.473871,465,91.855733,102,0,0,True
business_ch11_share_prior_down_long_1330,business_ch11_share_pct,>=,34.132853778767256,down,13:30:00,422,42.958612,340,67.163332,61,0,0,False
business_ch11_share_prior_down_long_1330,business_ch11_share_pct,>=,37.92449985300431,down,13:30:00,162,16.491221,114,22.51947,35,0,0,False
chapter11_share_prior_down_long_1330,chapter11_share_pct,>=,1.0573527162516125,down,13:30:00,688,70.036789,527,104.103164,102,0,0,True
chapter11_share_prior_down_long_1330,chapter11_share_pct,>=,1.4143413485118217,down,13:30:00,393,40.00648,309,61.039616,102,0,0,False
chapter11_share_prior_down_long_1330,chapter11_share_pct,>=,1.7033545575370934,down,13:30:00,161,16.389423,113,22.321931,35,0,0,False
total_ch11_growth_prior_down_long_1130,total_ch11_yoy_pct,>=,5.620921852051,down,11:30:00,577,58.737249,340,67.163332,61,0,0,True
total_ch11_growth_prior_down_long_1130,total_ch11_yoy_pct,>=,22.94832826747721,down,11:30:00,324,32.982441,221,43.656165,35,0,0,False
total_ch11_growth_prior_down_long_1130,total_ch11_yoy_pct,>=,36.76411981837781,down,11:30:00,149,15.167851,108,21.334235,0,0,0,False
total_ch11_z_prior_up_short_1330,total_ch11_z16,>=,0.0172143361987526,up,13:30:00,809,82.354306,414,81.781233,150,0,0,True
total_ch11_z_prior_up_short_1330,total_ch11_z16,>=,0.7960824618812837,up,13:30:00,489,49.779055,375,74.077204,150,0,0,False
total_ch11_z_prior_up_short_1330,total_ch11_z16,>=,1.111666518216771,up,13:30:00,193,19.646948,156,30.816117,45,0,0,False
