variant_id,timeframe_minutes,min_down_move_ticks,min_sell_imbalance,signals_full,signals_per_year,signals_latest_252_sessions,latest_signals_per_year
afternoon_5m_fast_liquidation_snapback_long_1530,5,10,0.05,1536,99.4899804929952,61,61
afternoon_5m_fast_liquidation_snapback_long_1530,5,10,0.15,762,49.356357510196844,0,0
afternoon_5m_fast_liquidation_snapback_long_1530,5,10,0.25,293,18.97823195602057,0,0
afternoon_5m_fast_liquidation_snapback_long_1530,5,14,0.05,1449,93.85480581663415,61,61
afternoon_5m_fast_liquidation_snapback_long_1530,5,14,0.15,693,44.887081042738075,0,0
afternoon_5m_fast_liquidation_snapback_long_1530,5,14,0.25,245,15.86917006561447,0,0
afternoon_5m_fast_liquidation_snapback_long_1530,5,18,0.05,1337,86.60032807235325,61,61
afternoon_5m_fast_liquidation_snapback_long_1530,5,18,0.15,589,38.15078028019152,0,0
afternoon_5m_fast_liquidation_snapback_long_1530,5,18,0.25,188,12.177159070757225,0,0
full_session_30m_structural_flush_reclaim_long_1530,30,24,0.0,554,35.88375598510374,27,27
full_session_30m_structural_flush_reclaim_long_1530,30,24,0.05,289,18.719143465153394,5,5
full_session_30m_structural_flush_reclaim_long_1530,30,24,0.15,26,1.6840751906366376,0,0
full_session_30m_structural_flush_reclaim_long_1530,30,32,0.0,517,33.48718744458237,26,26
full_session_30m_structural_flush_reclaim_long_1530,30,32,0.05,268,17.358928888100728,5,5
full_session_30m_structural_flush_reclaim_long_1530,30,32,0.15,22,1.4249866997694627,0,0
full_session_30m_structural_flush_reclaim_long_1530,30,40,0.0,464,30.0542649405923,26,26
full_session_30m_structural_flush_reclaim_long_1530,30,40,0.05,232,15.02713247029615,5,5
full_session_30m_structural_flush_reclaim_long_1530,30,40,0.15,14,0.9068097180351126,0,0
midday_15m_vwap_dislocation_reclaim_long_1430,15,12,0.0,497,32.1917449902465,23,23
midday_15m_vwap_dislocation_reclaim_long_1430,15,12,0.05,326,21.115712005674766,8,8
midday_15m_vwap_dislocation_reclaim_long_1430,15,12,0.15,81,5.246541940060294,0,0
midday_15m_vwap_dislocation_reclaim_long_1430,15,18,0.0,470,30.442897676893065,23,23
midday_15m_vwap_dislocation_reclaim_long_1430,15,18,0.05,309,20.01458591948927,8,8
midday_15m_vwap_dislocation_reclaim_long_1430,15,18,0.15,73,4.728364958325944,0,0
midday_15m_vwap_dislocation_reclaim_long_1430,15,24,0.0,445,28.82359460897322,23,23
midday_15m_vwap_dislocation_reclaim_long_1430,15,24,0.05,287,18.58959921971981,8,8
midday_15m_vwap_dislocation_reclaim_long_1430,15,24,0.15,61,3.951099485724419,0,0
morning_15m_sell_capitulation_reclaim_long_1200,15,16,0.0,105,6.801072885263344,7,7
morning_15m_sell_capitulation_reclaim_long_1200,15,16,0.1,32,2.0727079269374,0,0
morning_15m_sell_capitulation_reclaim_long_1200,15,16,0.2,5,0.3238606135839688,0,0
morning_15m_sell_capitulation_reclaim_long_1200,15,20,0.0,103,6.671528639829757,7,7
morning_15m_sell_capitulation_reclaim_long_1200,15,20,0.1,32,2.0727079269374,0,0
morning_15m_sell_capitulation_reclaim_long_1200,15,20,0.2,5,0.3238606135839688,0,0
morning_15m_sell_capitulation_reclaim_long_1200,15,28,0.0,101,6.541984394396169,7,7
morning_15m_sell_capitulation_reclaim_long_1200,15,28,0.1,31,2.0079358042206064,0,0
morning_15m_sell_capitulation_reclaim_long_1200,15,28,0.2,5,0.3238606135839688,0,0
opening_5m_sell_capitulation_reclaim_long_1030,5,8,0.0,326,21.115712005674766,14,14
opening_5m_sell_capitulation_reclaim_long_1030,5,8,0.1,138,8.938552934917539,3,3
opening_5m_sell_capitulation_reclaim_long_1030,5,8,0.2,29,1.8783915587870188,0,0
opening_5m_sell_capitulation_reclaim_long_1030,5,12,0.0,319,20.66230714665721,14,14
opening_5m_sell_capitulation_reclaim_long_1030,5,12,0.1,135,8.744236566767157,3,3
opening_5m_sell_capitulation_reclaim_long_1030,5,12,0.2,28,1.8136194360702251,0,0
opening_5m_sell_capitulation_reclaim_long_1030,5,16,0.0,308,19.949813796772478,14,14
opening_5m_sell_capitulation_reclaim_long_1030,5,16,0.1,131,8.485148075899982,3,3
opening_5m_sell_capitulation_reclaim_long_1030,5,16,0.2,27,1.7488473133534315,0,0
